name,file,Run Number,Technology,Lead Period,Land Access,Model Year,Resource Year
25_wind_offshore_one_day_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/25_wind_offshore_one_day_35_rep-profiles_2019.h5,25,wind_offshore,one_day,,35,2019
26_wind_offshore_two_day_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/26_wind_offshore_two_day_30_rep-profiles_2018.h5,26,wind_offshore,two_day,,30,2018
26_wind_offshore_two_day_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/26_wind_offshore_two_day_30_rep-profiles_2019.h5,26,wind_offshore,two_day,,30,2019
27_wind_offshore_two_day_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/27_wind_offshore_two_day_35_rep-profiles_2018.h5,27,wind_offshore,two_day,,35,2018
27_wind_offshore_two_day_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/27_wind_offshore_two_day_35_rep-profiles_2019.h5,27,wind_offshore,two_day,,35,2019
28_wind_onshore_one_day_limited_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/28_wind_onshore_one_day_limited_22_rep-profiles_2018.h5,28,wind_onshore,one_day,limited,22,2018
28_wind_onshore_one_day_limited_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/28_wind_onshore_one_day_limited_22_rep-profiles_2019.h5,28,wind_onshore,one_day,limited,22,2019
29_wind_onshore_one_day_limited_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/29_wind_onshore_one_day_limited_30_rep-profiles_2018.h5,29,wind_onshore,one_day,limited,30,2018
29_wind_onshore_one_day_limited_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/29_wind_onshore_one_day_limited_30_rep-profiles_2019.h5,29,wind_onshore,one_day,limited,30,2019
30_wind_onshore_one_day_limited_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/30_wind_onshore_one_day_limited_35_rep-profiles_2018.h5,30,wind_onshore,one_day,limited,35,2018
30_wind_onshore_one_day_limited_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/30_wind_onshore_one_day_limited_35_rep-profiles_2019.h5,30,wind_onshore,one_day,limited,35,2019
31_wind_onshore_one_day_open_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/31_wind_onshore_one_day_open_22_rep-profiles_2018.h5,31,wind_onshore,one_day,open,22,2018
31_wind_onshore_one_day_open_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/31_wind_onshore_one_day_open_22_rep-profiles_2019.h5,31,wind_onshore,one_day,open,22,2019
32_wind_onshore_one_day_open_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/32_wind_onshore_one_day_open_30_rep-profiles_2018.h5,32,wind_onshore,one_day,open,30,2018
32_wind_onshore_one_day_open_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/32_wind_onshore_one_day_open_30_rep-profiles_2019.h5,32,wind_onshore,one_day,open,30,2019
33_wind_onshore_one_day_open_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/33_wind_onshore_one_day_open_35_rep-profiles_2018.h5,33,wind_onshore,one_day,open,35,2018
33_wind_onshore_one_day_open_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/33_wind_onshore_one_day_open_35_rep-profiles_2019.h5,33,wind_onshore,one_day,open,35,2019
34_wind_onshore_two_day_limited_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/34_wind_onshore_two_day_limited_22_rep-profiles_2018.h5,34,wind_onshore,two_day,limited,22,2018
34_wind_onshore_two_day_limited_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/34_wind_onshore_two_day_limited_22_rep-profiles_2019.h5,34,wind_onshore,two_day,limited,22,2019
35_wind_onshore_two_day_limited_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/35_wind_onshore_two_day_limited_30_rep-profiles_2018.h5,35,wind_onshore,two_day,limited,30,2018
35_wind_onshore_two_day_limited_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/35_wind_onshore_two_day_limited_30_rep-profiles_2019.h5,35,wind_onshore,two_day,limited,30,2019
36_wind_onshore_two_day_limited_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/36_wind_onshore_two_day_limited_35_rep-profiles_2018.h5,36,wind_onshore,two_day,limited,35,2018
36_wind_onshore_two_day_limited_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/36_wind_onshore_two_day_limited_35_rep-profiles_2019.h5,36,wind_onshore,two_day,limited,35,2019
37_wind_onshore_two_day_open_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/37_wind_onshore_two_day_open_22_rep-profiles_2018.h5,37,wind_onshore,two_day,open,22,2018
37_wind_onshore_two_day_open_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/37_wind_onshore_two_day_open_22_rep-profiles_2019.h5,37,wind_onshore,two_day,open,22,2019
38_wind_onshore_two_day_open_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/38_wind_onshore_two_day_open_30_rep-profiles_2018.h5,38,wind_onshore,two_day,open,30,2018
38_wind_onshore_two_day_open_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/38_wind_onshore_two_day_open_30_rep-profiles_2019.h5,38,wind_onshore,two_day,open,30,2019
39_wind_onshore_two_day_open_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/39_wind_onshore_two_day_open_35_rep-profiles_2018.h5,39,wind_onshore,two_day,open,35,2018
39_wind_onshore_two_day_open_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/39_wind_onshore_two_day_open_35_rep-profiles_2019.h5,39,wind_onshore,two_day,open,35,2019
