name,file,Run Number,Technology,Lead Period,Land Access,Model Year,Resource Year
00_solar_upv_one_day_limited_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/00_solar_upv_one_day_limited_22_rep-profiles_2018.h5,00,solar_upv,one_day,limited,22,2018
00_solar_upv_one_day_limited_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/00_solar_upv_one_day_limited_22_rep-profiles_2019.h5,00,solar_upv,one_day,limited,22,2019
01_solar_upv_one_day_limited_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/01_solar_upv_one_day_limited_30_rep-profiles_2018.h5,01,solar_upv,one_day,limited,30,2018
01_solar_upv_one_day_limited_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/01_solar_upv_one_day_limited_30_rep-profiles_2019.h5,01,solar_upv,one_day,limited,30,2019
02_solar_upv_one_day_limited_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/02_solar_upv_one_day_limited_35_rep-profiles_2018.h5,02,solar_upv,one_day,limited,35,2018
02_solar_upv_one_day_limited_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/02_solar_upv_one_day_limited_35_rep-profiles_2019.h5,02,solar_upv,one_day,limited,35,2019
03_solar_upv_one_day_limited_40_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/03_solar_upv_one_day_limited_40_rep-profiles_2018.h5,03,solar_upv,one_day,limited,40,2018
03_solar_upv_one_day_limited_40_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/03_solar_upv_one_day_limited_40_rep-profiles_2019.h5,03,solar_upv,one_day,limited,40,2019
04_solar_upv_one_day_limited_45_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/04_solar_upv_one_day_limited_45_rep-profiles_2018.h5,04,solar_upv,one_day,limited,45,2018
04_solar_upv_one_day_limited_45_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/04_solar_upv_one_day_limited_45_rep-profiles_2019.h5,04,solar_upv,one_day,limited,45,2019
05_solar_upv_one_day_limited_50_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/05_solar_upv_one_day_limited_50_rep-profiles_2018.h5,05,solar_upv,one_day,limited,50,2018
05_solar_upv_one_day_limited_50_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/05_solar_upv_one_day_limited_50_rep-profiles_2019.h5,05,solar_upv,one_day,limited,50,2019
06_solar_upv_one_day_open_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/06_solar_upv_one_day_open_22_rep-profiles_2018.h5,06,solar_upv,one_day,open,22,2018
06_solar_upv_one_day_open_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/06_solar_upv_one_day_open_22_rep-profiles_2019.h5,06,solar_upv,one_day,open,22,2019
07_solar_upv_one_day_open_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/07_solar_upv_one_day_open_30_rep-profiles_2018.h5,07,solar_upv,one_day,open,30,2018
07_solar_upv_one_day_open_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/07_solar_upv_one_day_open_30_rep-profiles_2019.h5,07,solar_upv,one_day,open,30,2019
08_solar_upv_one_day_open_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/08_solar_upv_one_day_open_35_rep-profiles_2018.h5,08,solar_upv,one_day,open,35,2018
08_solar_upv_one_day_open_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/08_solar_upv_one_day_open_35_rep-profiles_2019.h5,08,solar_upv,one_day,open,35,2019
09_solar_upv_one_day_open_40_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/09_solar_upv_one_day_open_40_rep-profiles_2018.h5,09,solar_upv,one_day,open,40,2018
09_solar_upv_one_day_open_40_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/09_solar_upv_one_day_open_40_rep-profiles_2019.h5,09,solar_upv,one_day,open,40,2019
10_solar_upv_one_day_open_45_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/10_solar_upv_one_day_open_45_rep-profiles_2018.h5,10,solar_upv,one_day,open,45,2018
10_solar_upv_one_day_open_45_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/10_solar_upv_one_day_open_45_rep-profiles_2019.h5,10,solar_upv,one_day,open,45,2019
11_solar_upv_one_day_open_50_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/11_solar_upv_one_day_open_50_rep-profiles_2018.h5,11,solar_upv,one_day,open,50,2018
11_solar_upv_one_day_open_50_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/11_solar_upv_one_day_open_50_rep-profiles_2019.h5,11,solar_upv,one_day,open,50,2019
12_solar_upv_two_day_limited_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/12_solar_upv_two_day_limited_22_rep-profiles_2018.h5,12,solar_upv,two_day,limited,22,2018
12_solar_upv_two_day_limited_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/12_solar_upv_two_day_limited_22_rep-profiles_2019.h5,12,solar_upv,two_day,limited,22,2019
13_solar_upv_two_day_limited_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/13_solar_upv_two_day_limited_30_rep-profiles_2018.h5,13,solar_upv,two_day,limited,30,2018
13_solar_upv_two_day_limited_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/13_solar_upv_two_day_limited_30_rep-profiles_2019.h5,13,solar_upv,two_day,limited,30,2019
14_solar_upv_two_day_limited_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/14_solar_upv_two_day_limited_35_rep-profiles_2018.h5,14,solar_upv,two_day,limited,35,2018
14_solar_upv_two_day_limited_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/14_solar_upv_two_day_limited_35_rep-profiles_2019.h5,14,solar_upv,two_day,limited,35,2019
15_solar_upv_two_day_limited_40_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/15_solar_upv_two_day_limited_40_rep-profiles_2018.h5,15,solar_upv,two_day,limited,40,2018
15_solar_upv_two_day_limited_40_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/15_solar_upv_two_day_limited_40_rep-profiles_2019.h5,15,solar_upv,two_day,limited,40,2019
16_solar_upv_two_day_limited_45_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/16_solar_upv_two_day_limited_45_rep-profiles_2018.h5,16,solar_upv,two_day,limited,45,2018
16_solar_upv_two_day_limited_45_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/16_solar_upv_two_day_limited_45_rep-profiles_2019.h5,16,solar_upv,two_day,limited,45,2019
17_solar_upv_two_day_limited_50_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/17_solar_upv_two_day_limited_50_rep-profiles_2018.h5,17,solar_upv,two_day,limited,50,2018
17_solar_upv_two_day_limited_50_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/17_solar_upv_two_day_limited_50_rep-profiles_2019.h5,17,solar_upv,two_day,limited,50,2019
18_solar_upv_two_day_open_22_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/18_solar_upv_two_day_open_22_rep-profiles_2018.h5,18,solar_upv,two_day,open,22,2018
18_solar_upv_two_day_open_22_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/18_solar_upv_two_day_open_22_rep-profiles_2019.h5,18,solar_upv,two_day,open,22,2019
19_solar_upv_two_day_open_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/19_solar_upv_two_day_open_30_rep-profiles_2018.h5,19,solar_upv,two_day,open,30,2018
19_solar_upv_two_day_open_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/19_solar_upv_two_day_open_30_rep-profiles_2019.h5,19,solar_upv,two_day,open,30,2019
20_solar_upv_two_day_open_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/20_solar_upv_two_day_open_35_rep-profiles_2018.h5,20,solar_upv,two_day,open,35,2018
20_solar_upv_two_day_open_35_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/20_solar_upv_two_day_open_35_rep-profiles_2019.h5,20,solar_upv,two_day,open,35,2019
21_solar_upv_two_day_open_40_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/21_solar_upv_two_day_open_40_rep-profiles_2018.h5,21,solar_upv,two_day,open,40,2018
21_solar_upv_two_day_open_40_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/21_solar_upv_two_day_open_40_rep-profiles_2019.h5,21,solar_upv,two_day,open,40,2019
22_solar_upv_two_day_open_45_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/22_solar_upv_two_day_open_45_rep-profiles_2018.h5,22,solar_upv,two_day,open,45,2018
22_solar_upv_two_day_open_45_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/22_solar_upv_two_day_open_45_rep-profiles_2019.h5,22,solar_upv,two_day,open,45,2019
23_solar_upv_two_day_open_50_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/23_solar_upv_two_day_open_50_rep-profiles_2018.h5,23,solar_upv,two_day,open,50,2018
23_solar_upv_two_day_open_50_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/23_solar_upv_two_day_open_50_rep-profiles_2019.h5,23,solar_upv,two_day,open,50,2019
24_wind_offshore_one_day_30_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/24_wind_offshore_one_day_30_rep-profiles_2018.h5,24,wind_offshore,one_day,,30,2018
24_wind_offshore_one_day_30_rep-profiles_2019,/Users/twillia2/review_datasets/pr100_forecasts/24_wind_offshore_one_day_30_rep-profiles_2019.h5,24,wind_offshore,one_day,,30,2019
25_wind_offshore_one_day_35_rep-profiles_2018,/Users/twillia2/review_datasets/pr100_forecasts/25_wind_offshore_one_day_35_rep-profiles_2018.h5,25,wind_offshore,one_day,,35,2018
