sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,offshore,mean_capital_cost,mean_fixed_operating_cost,mean_system_capacity,mean_fixed_charge_rate,mean_variable_operating_cost,usa_mrlc_nlcd2011,cnty_fips,fed_land_owner,lbnl_convex_hull_existing_farms_2018,lbnl_convex_hull_existing_farms_2021,nlcd_2016_treecanopy_2019_08_31_rev90m,2016_30m_cdls_rev90m,shadow_flicker_120m,shadow_flicker_135m,sc_point_gid,sc_row_ind,sc_col_ind,res_class,trans_multiplier,trans_gid,trans_capacity,trans_type,trans_cap_cost,dist_mi,lcot,total_lcoe,dist_km,nrel_region,windspeed_class,shadow_flicker_120m_sq_km,shadow_flicker_120m_pct,shadow_flicker_135m_sq_km,shadow_flicker_135m_pct,capital_cost_scalar,raw_lcoe,trans_cap_cost_per_mw,transmission_multiplier,dist_to_h2_load_km,hydrogen_annual_kg,lcoh_fcr
23395,"[703491, 704435, 705379, 706323, 707267, 708211, 709155, 708210, 707266, 709154, 706322, 705378, 704434, 703490, 708209, 707265, 709153, 706321, 705377, 704433, 703489, 708208, 707264, 709152, 706320, 704432, 703488, 708207, 707263, 709151, 703487, 704431, 709150, 705375, 704430, 703486, 705374, 706318]","[507464, 508408, 509352, 510296, 511240, 512184, 513128, 512183, 511239, 513127, 510295, 509351, 508407, 507463, 512182, 511238, 513126, 510294, 509350, 508406, 507462, 512181, 511237, 513125, 510293, 508405, 507461, 512180, 511236, 513124, 507460, 508404, 513123, 509348, 508403, 507459, 509347, 510291]","[70.39, 197.54001, 173.81999, 108.0, 134.16, 108.83001, 59.010002, 480.18, 478.63, 267.58, 488.74, 458.66, 524.02, 207.0, 457.01, 415.06, 189.59999, 183.41, 427.0, 529.0, 206.76, 390.95, 108.0, 255.54999, 9.0, 311.0, 212.13, 198.64, 23.68, 219.79001, 215.16, 355.66, 4.0, 3.0, 357.52002, 201.0, 310.49, 88.06]",9478,0.3651339411735534,26.78725468900408,7.5670881271362305,229.1011356445312,76.36704521484373,40.928,-109.044,United States,Colorado,Daggett,2226.236842105264,-7,0,5245314.0,214225.0,5499.99951171875,0.0490000061690807,0.0,"{""31"": 4.0, ""41"": 124.20000457763672, ""42"": 2319.419921875, ""52"": 6911.0205078125, ""71"": 48.38999938964844, ""81"": 21.0}",49009,"{""6"": 3633.919921875}",0.0,0.0,11.473578453063965,"{""37"": 3.0, ""121"": 0.9200000166893005, ""122"": 1.0, ""131"": 12.0, ""141"": 45.64999771118164, ""142"": 2612.02001953125, ""152"": 6741.490234375, ""176"": 11.0, ""195"": 0.949999988079071}",70.10000610351561,95.0999984741211,38105,100,105,0,1.0,81478.0,,PCALoadCen,337272.9375,88.15733459099815,5.166795120611057,31.95404980961513,141.87512485067697,Mountain,7,0.5678100494384765,0.743527588164573,0.7703099876403808,1.008694241702379,,,,,,,
23396,"[709155, 711042, 711986, 711985, 712930, 712929, 713874, 713873, 714817, 711041, 709154, 710098, 713872, 712928, 714816, 711984, 711040, 710097, 709153, 713871, 712927, 714815, 711039, 710096, 711983, 709152, 713870, 712926, 711982, 714814, 711038, 710095, 709151, 713869, 712925, 714813, 711981, 711037, 710094, 709150, 713868, 712924, 714812, 711980, 711036]","[513128, 515015, 515959, 515958, 516903, 516902, 517847, 517846, 518790, 515014, 513127, 514071, 517845, 516901, 518789, 515957, 515013, 514070, 513126, 517844, 516900, 518788, 515012, 514069, 515956, 513125, 517843, 516899, 515955, 518787, 515011, 514068, 513124, 517842, 516898, 518786, 515954, 515010, 514067, 513123, 517841, 516897, 518785, 515953, 515009]","[17.69, 26.96, 28.339998, 480.21002, 12.530001, 517.20996, 2.9099998, 500.33997, 195.28, 420.15997, 220.0, 202.0, 516.31, 407.53, 158.05, 431.72998, 521.21, 180.38998, 63.35, 443.84998, 275.61, 209.51999, 521.44, 372.91, 451.09, 109.100006, 521.89, 522.31, 525.6, 204.41, 479.89, 426.40002, 169.01001, 521.97003, 522.1, 202.3, 508.07, 312.94998, 119.67, 38.0, 154.47, 136.15, 56.0, 85.95, 51.91]",12956,0.4587206542491913,21.2151076569896,8.8566255569458,312.127899609375,104.042633203125,40.941,-108.9,United States,Colorado,Moffat,2429.8,-7,0,5197011.5,214225.0,5500.00048828125,0.0490000024437904,0.0,"{""41"": 335.3500061035156, ""42"": 1253.320068359375, ""43"": 1.0, ""52"": 11161.6396484375, ""71"": 87.46000671386719, ""81"": 6.0}",8081,"{""6"": 6534.8603515625}",0.0,0.0,4.905008792877197,"{""36"": 1.0, ""37"": 2.880000114440918, ""111"": 1.0, ""121"": 0.9099999666213989, ""122"": 0.8700000047683716, ""141"": 154.24002075195312, ""142"": 1267.3299560546875, ""152"": 11388.6201171875, ""176"": 7.0, ""190"": 5.920000076293945, ""195"": 15.0}",80.87999725341797,104.9499969482422,38106,100,106,0,1.0,7288.0,6820.0,TransLine,51514.1015625,10.2301888540753,0.6281593067606169,21.84326696375021,16.463852130417546,Mountain,2,0.6551279777526855,0.629672623215584,0.8500949752807618,0.8170640718224619,,,,,,,
23397,"[714817, 715760, 716703, 717646, 718590, 719534, 720477, 719533, 718589, 717645, 720476, 716702, 715759, 714816, 719532, 718588, 717644, 720475, 716701, 715758, 714815, 719531, 718587, 720474, 717643, 716700, 715757, 714814, 719530, 718586, 717642, 720473, 716699, 715756, 714813, 719529, 718585, 717641, 720472, 716698, 715755, 714812]","[518790, 519733, 520676, 521619, 522563, 523507, 524450, 523506, 522562, 521618, 524449, 520675, 519732, 518789, 523505, 522561, 521617, 524448, 520674, 519731, 518788, 523504, 522560, 524447, 521616, 520673, 519730, 518787, 523503, 522559, 521615, 524446, 520672, 519729, 518786, 523502, 522558, 521614, 524445, 520671, 519728, 518785]","[274.58, 377.04, 425.76, 426.49, 406.79, 384.2, 125.02, 523.4, 527.47, 523.20996, 160.82, 526.18, 527.95, 276.61, 516.14, 521.73004, 525.49, 157.22, 525.97, 522.33997, 315.41, 521.2, 517.06, 155.33, 519.02, 519.39996, 520.48, 317.53998, 523.38, 527.08997, 524.04004, 151.44, 462.81, 479.78, 324.72, 258.31, 227.37, 234.14, 76.0, 214.34, 184.0, 125.0]",16069,0.3486571907997131,27.92177312278749,7.273362636566162,387.6401496093752,129.213383203125,40.954,-108.756,United States,Colorado,Moffat,2148.690476190476,-7,0,5200272.5,214225.015625,5500.0,0.0490000061690807,0.0,"{""21"": 82.55000305175781, ""22"": 8.4399995803833, ""31"": 119.55000305175781, ""41"": 7.0, ""42"": 251.0, ""43"": 1.0, ""52"": 15020.310546875, ""71"": 297.260009765625, ""81"": 165.16000366210938}",8081,"{""6"": 14158.849609375}",0.0,0.0,0.9704486727714542,"{""24"": 1.0, ""36"": 5.0, ""121"": 19.599998474121094, ""131"": 110.68000030517578, ""141"": 14.680000305175781, ""142"": 174.9199981689453, ""152"": 15501.919921875, ""176"": 17.889999389648438, ""190"": 96.61000061035156, ""195"": 9.970000267028809}",429.469970703125,535.0399780273439,38107,100,107,0,1.0,81478.0,,PCALoadCen,389384.5,102.36828668484311,6.247006993052598,34.16878011584009,164.7453784933854,Mountain,7,3.4787067626953125,2.6922186204402245,4.333823822021485,3.354005378226698,,,,,,,
23398,"[720477, 721420, 722363, 723306, 724249, 725192, 726135, 725191, 724248, 723305, 726134, 722362, 721419, 720476, 725190, 724247, 723304, 726133, 721418, 722361, 720475, 725189, 724246, 723303, 726132, 722360, 721417, 720474, 725188, 724245, 723302, 726131, 722359, 721416, 720473, 724244, 725187, 723301, 722358, 726130, 721415, 720472]","[524450, 525393, 526336, 527279, 528222, 529165, 530108, 529164, 528221, 527278, 530107, 526335, 525392, 524449, 529163, 528220, 527277, 530106, 525391, 526334, 524448, 529162, 528219, 527276, 530105, 526333, 525390, 524447, 529161, 528218, 527275, 530104, 526332, 525389, 524446, 528217, 529160, 527274, 526331, 530103, 525388, 524445]","[236.67, 336.11, 322.96002, 301.7, 276.1, 262.75, 62.0, 527.77, 523.17, 512.82, 112.82001, 520.52, 414.19, 354.58, 524.79, 523.45996, 521.27, 107.0, 326.32, 521.91003, 357.3, 523.44, 526.0, 525.01, 106.0, 525.0, 524.0, 371.0, 523.76, 526.76, 525.14996, 100.729996, 438.86, 442.32, 375.00998, 383.7, 399.27002, 364.41003, 318.97, 69.25, 276.54, 231.43]",15826,0.3276845514774322,29.72642740035985,6.947367668151856,382.0645098632812,127.35483662109372,40.967,-108.612,United States,Colorado,Moffat,2066.309523809524,-7,0,5205939.5,214225.015625,5500.0,0.049000009894371,0.0,"{""31"": 127.81999969482422, ""42"": 28.93000030517578, ""52"": 15297.6103515625, ""71"": 260.4599914550781, ""81"": 8.0}",8081,"{""6"": 14962.6201171875}",0.0,0.0,0.3056110143661499,"{""121"": 11.25, ""122"": 1.8499999046325684, ""131"": 82.66999816894531, ""142"": 9.930000305175781, ""152"": 15609.26953125, ""190"": 0.9599999785423279, ""195"": 6.889999866485596}",379.6399841308594,466.6000061035156,38108,100,108,0,1.0,81478.0,,PCALoadCen,415470.65625,109.48204646681204,7.092124810171211,36.81855221053106,176.19383666089928,Mountain,8,3.0750838714599613,2.41457957392616,3.7794600494384767,2.967661181713209,,,,,,,
23399,"[726135, 727078, 728021, 728964, 729907, 730849, 731791, 730848, 729906, 728963, 731790, 727077, 728020, 726134, 730847, 729905, 728962, 731789, 728019, 727076, 726133, 730846, 729904, 728961, 728018, 731788, 727075, 726132, 729903, 730845, 728960, 728017, 731787, 727074, 726131, 730844, 729902, 728959, 731786, 728016, 727073, 726130, 730843, 729901]","[530108, 531051, 531994, 532937, 533880, 534822, 535764, 534821, 533879, 532936, 535763, 531050, 531993, 530107, 534820, 533878, 532935, 535762, 531992, 531049, 530106, 534819, 533877, 532934, 531991, 535761, 531048, 530105, 533876, 534818, 532933, 531990, 535760, 531047, 530104, 534817, 533875, 532932, 535759, 531989, 531046, 530103, 534816, 533874]","[180.0, 219.0, 204.0, 180.0, 159.0, 141.0, 20.0, 526.0, 526.0, 527.0, 61.0, 527.0, 526.98, 372.12, 524.49, 526.09, 526.06, 58.54, 522.43, 521.62, 289.78, 522.44, 525.79004, 524.68, 523.95996, 52.76, 527.39, 424.0, 526.57, 521.32996, 524.49, 519.9, 48.92, 524.75, 423.46002, 515.96, 501.14, 484.44, 43.8, 467.0, 447.0, 353.18, 10.0, 3.0]",16215,0.3624182939529419,26.90011307585612,7.385789394378662,392.54390859375,130.84796953125,40.98,-108.467,United States,Colorado,Moffat,2111.3863636363635,-7,0,5214006.5,214225.0,5500.00048828125,0.0490000061690807,0.0,"{""31"": 32.0, ""52"": 15732.830078125, ""71"": 380.239990234375, ""81"": 9.0}",8081,"{""6"": 15760.0703125}",0.0,0.0,0.0689842775464057,"{""37"": 3.0, ""121"": 6.829999923706055, ""131"": 20.90999984741211, ""152"": 16121.330078125, ""195"": 2.0}",103.07999420166016,125.12999725341795,38109,100,109,0,1.0,81478.0,,PCALoadCen,441746.875,116.647630404337,6.817973746986362,33.71808682284248,187.7256975149157,Mountain,7,0.8349479530334473,0.6381053951578816,1.0135529777526855,0.7746035199351121,,,,,,,
23400,"[731791, 732734, 733677, 734620, 735563, 735562, 736505, 736504, 734619, 733676, 732733, 731790, 737446, 736503, 735561, 734618, 733675, 732732, 731789, 737445, 736502, 735560, 734617, 733674, 731788, 732731, 737444, 736501, 735559, 734616, 733673, 732730, 731787, 736500, 735558, 734615, 733672, 732729, 731786, 736499, 735557, 733671, 734614, 732728, 731785]","[535764, 536707, 537650, 538593, 539536, 539535, 540478, 540477, 538592, 537649, 536706, 535763, 541419, 540476, 539534, 538591, 537648, 536705, 535762, 541418, 540475, 539533, 538590, 537647, 535761, 536704, 541417, 540474, 539532, 538589, 537646, 536703, 535760, 540473, 539531, 538588, 537645, 536702, 535759, 540472, 539530, 537644, 538587, 536701, 535758]","[98.0, 97.99, 78.520004, 56.0, 36.69, 523.95996, 20.0, 525.97, 528.0, 527.0, 522.76, 464.76, 9.820001, 522.91, 475.40997, 529.0, 528.0, 528.0, 467.40002, 6.91, 522.64, 520.73, 524.65, 525.0, 472.31, 528.0, 2.7399998, 525.76, 525.48004, 519.47, 523.83, 527.49, 476.36, 524.0, 524.33997, 512.81, 523.31, 525.58997, 478.37, 120.0, 90.64, 63.510002, 81.16, 42.92, 22.83]",16319,0.3532745540142059,27.61454469524993,7.239837646484375,394.9002729492187,131.63342431640623,40.993,-108.323,United States,Colorado,Moffat,2084.311111111111,-7,0,5220321.0,214225.0,5500.0,0.0490000024437904,0.0,"{""31"": 84.0, ""42"": 119.90999603271484, ""52"": 15841.66015625, ""71"": 205.47000122070312}",8081,"{""6"": 15661.0400390625}",0.0,0.0,0.5654059648513794,"{""121"": 7.789999961853027, ""122"": 1.940000057220459, ""131"": 36.0, ""142"": 68.0, ""152"": 16135.310546875, ""190"": 1.0, ""195"": 1.0}",253.55001831054688,328.6100158691406,38110,100,110,0,1.0,81478.0,,PCALoadCen,467859.5625,123.76862968105031,7.407899833859386,35.02244452910932,199.18580649090143,Mountain,7,2.053755148315429,1.5602079479288136,2.661741128540039,2.022086063902761,,,,,,,
23401,"[737447, 737446, 738389, 738388, 739330, 740273, 741216, 742160, 742159, 741215, 740272, 739329, 737445, 738387, 742158, 741214, 740271, 739328, 738386, 737444, 741213, 742157, 740270, 739327, 738385, 737443, 736501, 742156, 741212, 740269, 739326, 737442, 738384, 736500, 742155, 741211, 740268, 739325, 738383, 737441, 736499]","[541420, 541419, 542362, 542361, 543303, 544246, 545189, 546133, 546132, 545188, 544245, 543302, 541418, 542360, 546131, 545187, 544244, 543301, 542359, 541417, 545186, 546130, 544243, 543300, 542358, 541416, 540474, 546129, 545185, 544242, 543299, 541415, 542357, 540473, 546128, 545184, 544241, 543298, 542356, 541414, 540472]","[8.0, 503.93002, 1.0, 501.56, 481.66998, 463.22, 440.86, 393.29, 482.0, 527.0, 524.48, 523.20996, 517.45996, 525.1, 477.22, 526.09, 524.95996, 524.22, 524.42, 518.38, 526.59, 472.77002, 523.38, 525.67004, 528.15, 523.05, 3.0, 469.56, 527.0, 521.34, 524.12, 526.0, 523.0, 6.0, 210.45999, 223.0, 201.32, 185.12, 164.0, 144.0, 6.0]",16384,0.3190369606018066,30.605315388581143,6.7981810569763175,396.6148705078125,132.20495683593748,41.006,-108.179,United States,Colorado,Moffat,2017.0975609756088,-7,0,5228886.0,214225.0,5500.0,0.0490000061690807,0.0,"{""31"": 24.0, ""42"": 231.89999389648438, ""52"": 15889.69921875, ""71"": 162.0, ""81"": 14.0}",56037,"{""6"": 14856.259765625}",0.0,0.0,1.5668554306030271,"{""121"": 5.799999713897705, ""122"": 1.0, ""131"": 8.0, ""142"": 157.0, ""152"": 16146.900390625, ""176"": 1.0, ""190"": 1.899999976158142}",96.20999908447266,115.95999908447266,38111,100,111,0,1.0,81478.0,,PCALoadCen,493978.90625,130.89144051776776,8.660826743705769,39.26614213228692,210.6488308828644,Mountain,8,0.7793009925842285,0.589464276707354,0.9392759925842286,0.7104695732020417,,,,,,,
23731,"[703486, 704430, 705374, 705373, 706318, 706317, 707262, 704429, 707261, 703485, 709149, 707260, 708204, 709148, 708205, 705372, 704428, 703484, 706316, 707259, 708203, 709147, 706315, 704427, 703483, 705371, 708202, 709146, 703482, 703481, 704425, 703480, 704424, 705369]","[507459, 508403, 509347, 509346, 510291, 510290, 511235, 508402, 511234, 507458, 513122, 511233, 512177, 513121, 512178, 509345, 508401, 507457, 510289, 511232, 512176, 513120, 510288, 508400, 507456, 509344, 512175, 513119, 507455, 507454, 508398, 507453, 508397, 509342]","[22.0, 29.430002, 34.0, 518.28, 14.64, 290.89, 1.0, 501.54, 131.63, 223.73001, 5.0, 522.06006, 484.39, 241.0, 1.0, 293.31, 245.41, 201.24, 61.25, 98.0, 301.53, 236.51999, 17.41, 103.09, 119.92, 48.809998, 5.0, 65.85, 30.699999, 51.0, 58.0, 44.0, 84.0, 2.0]",5137,0.2357905358076095,41.45755882416434,5.612852573394775,123.6294061523438,41.20980205078125,40.831,-109.024,United States,Colorado,Moffat,1851.970588235294,-7,0,5239774.0,214225.015625,5500.0,0.0489999987185001,0.0,"{""21"": 46.6199951171875, ""22"": 8.220000267028809, ""31"": 29.809999465942383, ""42"": 278.3399963378906, ""52"": 4613.080078125, ""71"": 52.56999588012695, ""81"": 58.98999786376953}",8081,"{""3"": 256.91998291015625, ""6"": 4223.33984375}",0.0,0.0,3.1585009098052983,"{""36"": 2.0, ""37"": 16.6299991607666, ""121"": 5.439999580383301, ""122"": 5.609999656677246, ""131"": 34.79999923706055, ""142"": 291.5199890136719, ""152"": 4678.84033203125, ""176"": 41.39999771118164, ""190"": 6.800000190734863, ""205"": 4.589999675750732}",64.66000366210939,99.37000274658205,38485,101,105,0,1.0,48125.0,585.0,Substation,235991.0,64.35533185396979,5.598362677442919,47.05592150160726,103.56960976586775,Mountain,10,0.523746029663086,1.2709258564690362,0.8048970222473145,1.953168863212376,,,,,,,
23732,"[711036, 711980, 712924, 713868, 714812, 713867, 711979, 712923, 714811, 711035, 709148, 710092, 713866, 712922, 714810, 711978, 711034, 709147, 710091, 713865, 712921, 714809, 711977, 711033, 710090, 709146, 713864, 712920, 711976, 714808, 711032, 710089, 709145, 713863, 711975, 712919, 714807, 711031]","[515009, 515953, 516897, 517841, 518785, 517840, 515952, 516896, 518784, 515008, 513121, 514065, 517839, 516895, 518783, 515951, 515007, 513120, 514064, 517838, 516894, 518782, 515950, 515006, 514063, 513119, 517837, 516893, 515949, 518781, 515005, 514062, 513118, 517836, 515948, 516892, 518780, 515004]","[254.0, 334.02002, 362.36, 187.05, 142.26, 292.63, 528.0, 423.58002, 190.47, 401.0, 205.88, 85.06999, 346.75, 494.94, 177.48, 523.0, 518.0, 280.68, 494.71002, 528.61, 524.29004, 184.57, 527.0, 525.08997, 523.11, 224.23999, 526.7, 525.0, 527.77, 179.22, 358.35, 144.86, 44.69, 300.0, 259.0, 275.0, 95.0, 134.01999]",12699,0.2911121845245361,33.42950918709844,6.462350845336914,307.35612949218745,102.45204316406247,40.845,-108.88,United States,Colorado,Moffat,2021.342105263158,-7,0,5196941.0,214225.0,5500.0,0.0489999987185001,0.0,"{""21"": 60.62999725341797, ""22"": 4.510000228881836, ""31"": 6.0, ""41"": 5.970000267028809, ""42"": 2471.780029296875, ""52"": 9975.0703125, ""71"": 110.88999938964844, ""81"": 13.549999237060547}",8081,"{""3"": 14.829999923706055, ""6"": 11315.23046875}",0.0,0.0,11.159178733825684,"{""36"": 1.0, ""111"": 0.9900000095367432, ""121"": 11.210000038146973, ""123"": 1.8299999237060547, ""131"": 6.0, ""141"": 4.0, ""142"": 2738.75, ""152"": 9868.169921875, ""176"": 10.550000190734863, ""190"": 1.899999976158142, ""195"": 4.0}",240.509994506836,293.07000732421875,38486,101,106,0,1.0,81478.0,,PCALoadCen,361488.4375,94.76095749129236,6.94585967313831,40.37536886023675,152.50259932903646,Mountain,9,1.948130955505372,1.9015052265826609,2.373867059326172,2.317051945489031,,,,,,,
23733,"[714812, 715755, 716698, 717641, 718585, 719529, 720472, 718584, 719528, 720471, 717640, 715754, 716697, 714811, 718583, 719527, 717639, 720470, 716696, 715753, 714810, 719526, 718582, 717638, 720469, 716695, 715752, 714809, 719525, 718581, 717637, 720468, 716694, 715751, 714808, 719524, 718580, 717636, 720467, 716693, 714807, 715750]","[518785, 519728, 520671, 521614, 522558, 523502, 524445, 522557, 523501, 524444, 521613, 519727, 520670, 518784, 522556, 523500, 521612, 524443, 520669, 519726, 518783, 523499, 522555, 521611, 524442, 520668, 519725, 518782, 523498, 522554, 521610, 524441, 520667, 519724, 518781, 523497, 522553, 521609, 524440, 520666, 518780, 519723]","[203.34, 246.0, 307.69, 251.22998, 199.20001, 214.28, 72.409996, 528.0, 507.0, 96.47, 520.34, 460.03, 452.6, 320.83002, 503.22998, 367.0, 519.24, 136.91, 525.73, 428.69, 122.71, 433.0, 503.64, 523.28, 135.0, 473.0, 446.89, 274.40002, 339.89, 523.17, 519.44, 128.0, 203.90999, 522.56, 346.79, 288.82, 402.76, 378.24, 85.0, 287.0, 226.0, 338.0]",14419,0.3824006319046021,25.4490612846072,7.733034133911133,348.9897893554687,116.3299297851562,40.858,-108.736,United States,Colorado,Moffat,2108.928571428572,-7,0,5196941.5,214224.984375,5500.00048828125,0.0490000024437904,0.0,"{""21"": 91.19999694824219, ""22"": 9.969999313354492, ""31"": 241.0, ""41"": 2.0, ""42"": 1419.47998046875, ""52"": 12264.6298828125, ""71"": 333.44000244140625}",8081,"{""6"": 13402.919921875}",0.0,0.0,6.5532002449035645,"{""121"": 6.449999809265137, ""123"": 3.690000057220459, ""131"": 253.82000732421875, ""141"": 2.0, ""142"": 1222.75, ""152"": 12871.0107421875, ""190"": 1.0, ""195"": 1.0}",2.0,4.0,38487,101,107,0,1.0,60935.0,1477.5,Substation,266988.15625,72.80833067343521,3.9053984110928974,29.3544596957001,117.17335888598616,Mountain,6,0.0162,0.0139259088610462,0.0324,0.0278518177220925,,,,,,,
