year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2016,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,29.30000000000001,1
2018,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,29.30000000000001,0
2020,8014,66377,37.59,-74.831,s314,3,1,944238.1529664024,12.0,1
2020,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,29.30000000000001,0
2020,4345,43929,41.31100000000001,-71.059,s346,2,1,709697.4779657936,0.7000000000000455,1
2021,8014,66377,37.59,-74.831,s314,3,1,944238.1529664024,24.0,1
2021,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,29.30000000000001,0
2021,4345,43929,41.31100000000001,-71.059,s346,2,1,709697.4779657936,0.7000000000000455,0
2022,5219,48634,41.832,-81.28,s234,5,1,533871.0082709747,20.399999999999977,1
2022,8014,66377,37.59,-74.831,s314,3,1,944238.1529664024,24.0,0
2022,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,29.30000000000001,0
2022,4345,43929,41.31100000000001,-71.059,s346,2,1,709697.4779657936,0.7000000000000455,0
2023,5219,48634,41.832,-81.28,s234,5,1,533871.0082709747,20.399999999999977,0
2023,8014,66377,37.59,-74.831,s314,3,1,944238.1529664024,24.0,0
2023,4701,45837,41.055,-71.717,s342,2,1,776925.8281912219,130.0,1
2023,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,29.30000000000001,0
2023,4345,43929,41.31100000000001,-71.059,s346,2,1,709697.4779657936,0.7000000000000455,0
2023,4098,42503,41.379,-69.911,s349,2,1,633207.4543874928,400.0,1
2024,5219,48634,41.832,-81.28,s234,5,1,533871.0082709747,21.0,1
2024,8469,70675,36.875,-75.574,s307,5,1,809655.8517679423,276.564389310874,1
2024,8014,66377,37.59,-74.831,s314,3,1,944238.1529664024,588.3864795918366,1
2024,8065,66854,37.522,-74.983,s314,3,1,948576.0642339828,27.04913109728932,1
2024,7788,64464,37.963,-74.842,s315,3,1,769940.5887100056,248.0,1
2024,6754,57295,39.261,-74.281,s332,4,1,583034.74581114,540.6026785714283,1
2024,6829,57772,39.19300000000001,-74.438,s332,4,1,621163.5055304224,556.2292729591836,1
2024,6898,58250,39.106,-74.467,s332,4,1,625533.050393436,3.1680484693880544,1
2024,2909,35281,43.806,-76.37,s336,5,1,544191.8507140706,473.44706632653055,1
2024,2908,35280,43.824,-76.507,s336,5,2,561261.4021674817,368.50800000000004,1
2024,4701,45837,41.055,-71.717,s342,2,1,776925.8281912219,470.6489,1
2024,4881,46792,40.904,-71.915,s342,2,2,795173.4461704267,513.396,1
2024,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,160.4222,1
2024,4345,43929,41.31100000000001,-71.059,s346,2,1,709697.4779657936,573.5778,1
2024,4098,42503,41.379,-69.911,s349,2,1,633207.4543874928,491.9579081632653,1
2024,4180,42982,41.268,-69.818,s349,2,1,633501.7451264197,308.0420918367347,1
2024,2626,33412,43.242,-70.39699999999998,s356,13,1,624133.815585074,12.0,1
2025,5219,48634,41.832,-81.28,s234,5,1,533871.0082709747,21.0,0
2025,8469,70675,36.875,-75.574,s307,5,1,809655.8517679423,516.8829719387754,1
2025,8468,70674,36.894,-75.697,s307,5,2,1577500.6002422771,40.03507653061224,1
2025,8014,66377,37.59,-74.831,s314,3,1,944238.1529664024,588.3864795918366,0
2025,8065,66854,37.522,-74.983,s314,3,1,948576.0642339828,337.1986607142857,1
2025,8066,66855,37.502,-74.859,s314,3,2,974065.6553766724,289.4967,1
2025,7788,64464,37.963,-74.842,s315,3,1,769940.5887100056,599.4068877551018,1
2025,7730,63986,38.051,-74.814,s315,3,1,783555.4585399723,48.59311224489818,1
2025,6754,57295,39.261,-74.281,s332,4,1,583034.74581114,540.6026785714283,0
2025,6829,57772,39.19300000000001,-74.438,s332,4,1,621163.5055304224,556.2292729591836,0
2025,6898,58250,39.106,-74.467,s332,4,1,625533.050393436,3.1680484693880544,0
2025,2909,35281,43.806,-76.37,s336,5,1,544191.8507140706,473.44706632653055,0
2025,2908,35280,43.824,-76.507,s336,5,2,561261.4021674817,368.50800000000004,0
2025,4701,45837,41.055,-71.717,s342,2,1,776925.8281912219,470.6489,0
2025,4881,46792,40.904,-71.915,s342,2,2,795173.4461704267,513.396,0
2025,4431,44405,41.27,-71.354,s345,2,1,832411.6875321292,223.46460000000002,1
2025,4614,45361,41.096,-71.423,s345,2,2,834811.4076179485,417.0966,1
2025,4521,44883,41.183,-71.389,s345,2,3,870464.7858857897,193.8903,1
2025,4345,43929,41.31100000000001,-71.059,s346,2,1,709697.4779657936,573.5778,0
2025,4433,44407,41.224,-71.094,s346,2,2,856963.0461255916,129.97069999999997,1
