year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2016,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,1
2018,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,0
2020,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,12.0,1
2020,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,0
2020,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,0.6999999999999886,1
2021,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,24.0,1
2021,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,0
2021,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,0.6999999999999886,0
2022,4009,47199,42.112,-81.352,s234,5,1,888772.8370671985,20.399999999999977,1
2022,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,24.0,0
2022,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,0
2022,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,0.6999999999999886,0
2023,4009,47199,42.112,-81.352,s234,5,1,888772.8370671985,20.399999999999977,0
2023,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,24.0,0
2023,4433,50132,40.426,-72.921,s342,3,1,730577.4573948098,130.0,1
2023,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,0
2023,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,0.6999999999999886,0
2023,3800,45850,40.749,-70.036,s349,2,1,911718.606964912,394.55237628447816,1
2023,3501,43940,41.04600000000001,-69.632,s349,2,1,937771.5793130221,5.447623715521843,1
2024,4009,47199,42.112,-81.352,s234,5,1,888772.8370671985,21.0,1
2024,7243,70675,36.875,-75.574,s307,5,1,899133.8649418378,244.6487,1
2024,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,389.8179759329367,1
2024,6862,66854,37.522,-74.983,s314,3,1,990510.51341113,223.4009515278529,1
2024,6863,66855,37.502,-74.859,s314,3,2,997656.041788953,34.13229999999999,1
2024,6593,64464,37.963,-74.842,s315,3,1,871117.5399548144,217.09792455381282,1
2024,6594,64465,37.94300000000001,-74.717,s315,3,1,872432.8417889529,30.902075446187155,1
2024,5803,58729,38.997,-74.37,s332,3,1,736690.6994091083,392.49890143320715,1
2024,5869,59207,38.91,-74.399,s332,3,1,761188.9172470941,94.08259856679285,1
2024,5593,57295,39.261,-74.281,s332,4,1,607679.2863144737,184.2138064494321,1
2024,5668,57773,39.173,-74.311,s332,4,1,649410.7590630376,286.1745369118442,1
2024,5735,58250,39.106,-74.467,s332,4,1,676386.3032620657,143.03015663872367,1
2024,5049,53956,39.727,-73.175,s342,2,1,1027036.309303656,390.6735904542997,1
2024,4433,50132,40.426,-72.921,s342,3,1,730577.4573948098,134.1603569497025,1
2024,4580,51086,40.295,-73.243,s342,3,2,856304.1908004588,338.1103,1
2024,4659,51565,40.186,-73.146,s342,3,3,894517.2016234081,311.12996045159537,1
2024,4581,51087,40.273,-73.11399999999998,s342,3,4,919036.3386248602,370.3099648458627,1
2024,4658,51564,40.207,-73.274,s342,3,4,965359.6589441116,91.66933515413734,1
2024,4578,51084,40.337,-73.501,s342,4,1,734558.4989166945,189.9464,1
2024,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,29.30000000000001,0
2024,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,231.3296,1
2024,3642,44885,41.137,-71.12899999999998,s346,2,2,909037.8291755898,328.4989,1
2024,3641,44884,41.16,-71.259,s346,2,3,1227982.0963695843,112.3136661709032,1
2024,3566,44406,41.247,-71.22399999999998,s346,2,4,1846163.721090646,32.5577999999999,1
2024,3800,45850,40.749,-70.036,s349,2,1,911718.606964912,394.55237628447816,0
2024,3501,43940,41.04600000000001,-69.632,s349,2,1,937771.5793130221,345.6682666306112,1
2024,3643,44886,41.114,-70.999,s349,2,1,948895.1539839455,59.77935708491066,1
2024,2197,33892,43.107,-70.167,s356,4,1,941647.5462671429,12.0,1
2025,4009,47199,42.112,-81.352,s234,5,1,888772.8370671985,21.0,0
2025,7243,70675,36.875,-75.574,s307,5,1,899133.8649418378,244.6487,0
2025,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,389.8179759329367,0
2025,6862,66854,37.522,-74.983,s314,3,1,990510.51341113,223.4009515278529,0
2025,6863,66855,37.502,-74.859,s314,3,2,997656.041788953,397.1192,1
2025,6914,67333,37.414,-74.887,s314,3,3,1016041.1084556195,397.1192198485669,1
2025,6708,65420,37.786,-74.899,s314,3,3,1283812.8792386923,56.84132470254193,1
2025,6811,66376,37.61,-74.955,s314,3,3,1437671.649148177,47.22985544889118,1
2025,6913,67332,37.434,-75.01100000000002,s314,4,1,936474.0212307574,15.822699999999884,1
2025,6593,64464,37.963,-74.842,s315,3,1,871117.5399548144,217.09792455381282,0
2025,6594,64465,37.94300000000001,-74.717,s315,3,1,872432.8417889529,397.11917544618717,1
2025,6540,63987,38.031,-74.689,s315,3,2,900718.1741608779,33.782899999999984,1
2025,5803,58729,38.997,-74.37,s332,3,1,736690.6994091083,392.49890143320715,0
2025,5869,59207,38.91,-74.399,s332,3,1,761188.9172470941,94.08259856679285,0
2025,5593,57295,39.261,-74.281,s332,4,1,607679.2863144737,184.2138064494321,0
2025,5668,57773,39.173,-74.311,s332,4,1,649410.7590630376,286.1745369118442,0
2025,5735,58250,39.106,-74.467,s332,4,1,676386.3032620657,143.03015663872367,0
2025,5049,53956,39.727,-73.175,s342,2,1,1027036.309303656,390.6735904542997,0
2025,4433,50132,40.426,-72.921,s342,3,1,730577.4573948098,134.1603569497025,0
2025,4580,51086,40.295,-73.243,s342,3,2,856304.1908004588,338.1103,0
2025,4659,51565,40.186,-73.146,s342,3,3,894517.2016234081,311.12996045159537,0
2025,4581,51087,40.273,-73.11399999999998,s342,3,4,919036.3386248602,370.3099648458627,0
2025,4658,51564,40.207,-73.274,s342,3,4,965359.6589441116,91.66933515413734,0
2025,4578,51084,40.337,-73.501,s342,4,1,734558.4989166945,189.9464,0
2025,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,336.998,1
2025,3791,45841,40.963,-71.19800000000002,s345,11,2,1341223.9136503746,151.9616,1
2025,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,231.3296,0
2025,3642,44885,41.137,-71.12899999999998,s346,2,2,909037.8291755898,328.4989,0
2025,3641,44884,41.16,-71.259,s346,2,3,1227982.0963695843,112.3136661709032,0
2025,3566,44406,41.247,-71.22399999999998,s346,2,4,1846163.721090646,49.42599885073013,1
2025,3716,45363,41.05,-71.164,s346,11,1,1326613.7742396556,327.47219780962683,1
2025,3800,45850,40.749,-70.036,s349,2,1,911718.606964912,394.55237628447816,0
2025,3501,43940,41.04600000000001,-69.632,s349,2,1,937771.5793130221,345.6682666306112,0
2025,3643,44886,41.114,-70.999,s349,2,1,948895.1539839455,361.66825818009727,1
2025,3572,44412,41.105,-70.445,s349,2,1,975465.6818337678,269.8608200378584,1
2025,3577,44419,40.935,-69.54,s349,2,1,1011348.6171363948,328.250278866955,1
2025,2197,33892,43.107,-70.167,s356,4,1,941647.5462671429,12.0,0
2026,4009,47199,42.112,-81.352,s234,5,1,888772.8370671985,21.0,0
2026,9664,89301,33.695,-78.461,s292,5,1,685181.5517191318,236.1496078961601,1
2026,9665,89302,33.679,-78.342,s292,5,1,687320.6622636402,394.80906064088686,1
2026,9740,89779,33.606,-78.483,s292,5,1,700723.6127592113,169.04133146295305,1
2026,7243,70675,36.875,-75.574,s307,5,1,899133.8649418378,244.6487,0
2026,6812,66377,37.59,-74.831,s314,3,1,968270.3844856145,389.8179759329367,0
2026,6862,66854,37.522,-74.983,s314,3,1,990510.51341113,223.4009515278529,0
2026,6863,66855,37.502,-74.859,s314,3,2,997656.041788953,397.1192,0
2026,6914,67333,37.414,-74.887,s314,3,3,1016041.1084556195,397.1192198485669,0
2026,6708,65420,37.786,-74.899,s314,3,3,1283812.8792386923,56.84132470254193,0
2026,6811,66376,37.61,-74.955,s314,3,3,1437671.649148177,47.22985544889118,0
2026,6913,67332,37.434,-75.01100000000002,s314,4,1,936474.0212307574,378.86611005949163,1
2026,7244,70676,36.856,-75.45100000000002,s314,4,1,984381.3696309705,346.63796308815574,1
2026,7197,70198,36.944,-75.423,s314,4,1,995436.6459217034,170.3186268523525,1
2026,6593,64464,37.963,-74.842,s315,3,1,871117.5399548144,217.09792455381282,0
2026,6594,64465,37.94300000000001,-74.717,s315,3,1,872432.8417889529,397.11917544618717,0
2026,6540,63987,38.031,-74.689,s315,3,2,900718.1741608779,397.1192198485669,1
2026,6652,64942,37.875,-74.87100000000002,s315,3,2,908342.8551923304,188.2351801514331,1
2026,6653,64943,37.855,-74.74600000000002,s315,3,3,910083.8017889528,397.1192198485669,1
2026,6425,63032,38.186,-74.506,s315,3,3,953543.4463629259,236.01878015143313,1
2026,6359,62551,38.335,-74.854,s315,4,1,820812.6910248385,189.29045260951858,1
2026,5803,58729,38.997,-74.37,s332,3,1,736690.6994091083,392.49890143320715,0
2026,5869,59207,38.91,-74.399,s332,3,1,761188.9172470941,94.08259856679285,0
2026,5593,57295,39.261,-74.281,s332,4,1,607679.2863144737,184.2138064494321,0
2026,5668,57773,39.173,-74.311,s332,4,1,649410.7590630376,286.1745369118442,0
2026,5735,58250,39.106,-74.467,s332,4,1,676386.3032620657,143.03015663872367,0
2026,5049,53956,39.727,-73.175,s342,2,1,1027036.309303656,390.6735904542997,0
2026,5126,54435,39.618,-73.079,s342,2,2,1080239.0365843289,352.7983876419686,1
2026,4433,50132,40.426,-72.921,s342,3,1,730577.4573948098,134.1603569497025,0
2026,4580,51086,40.295,-73.243,s342,3,2,856304.1908004588,338.1103,0
2026,4659,51565,40.186,-73.146,s342,3,3,894517.2016234081,311.12996045159537,0
2026,4581,51087,40.273,-73.11399999999998,s342,3,4,919036.3386248602,370.3099648458627,0
2026,4658,51564,40.207,-73.274,s342,3,4,965359.6589441116,158.7735346809086,1
2026,4974,53477,39.836,-73.27199999999998,s342,3,5,1056345.8944232177,251.52214879664683,1
2026,4739,52043,40.098,-73.17699999999998,s342,3,5,1300500.2371958809,78.03195120335317,1
2026,4578,51084,40.337,-73.501,s342,4,1,734558.4989166945,189.9464,0
2026,4579,51085,40.316,-73.372,s342,4,2,797556.5386503725,315.3224716062736,1
2026,4737,52040,40.162,-73.563,s342,4,3,1486548.2260255348,39.38678846673878,1
2026,4657,51563,40.229,-73.403,s342,4,4,1632636.891158878,23.671999999999997,1
2026,4577,51083,40.358,-73.63,s342,5,1,1296828.8201766966,30.43135647647377,1
2026,4150,48225,40.665,-72.145,s342,12,1,780623.8375840883,103.73060000000001,1
2026,3869,46320,40.853,-71.104,s345,11,1,1336148.717348769,336.998,0
2026,3791,45841,40.963,-71.19800000000002,s345,11,2,1341223.9136503746,151.9616,0
2026,3567,44407,41.224,-71.094,s346,2,1,861753.2176703791,231.3296,0
2026,3642,44885,41.137,-71.12899999999998,s346,2,2,909037.8291755898,328.4989,0
2026,3641,44884,41.16,-71.259,s346,2,3,1227982.0963695843,112.3136661709032,0
2026,3566,44406,41.247,-71.22399999999998,s346,2,4,1846163.721090646,49.42599885073013,0
2026,3716,45363,41.05,-71.164,s346,11,1,1326613.7742396556,327.47219780962683,0
2026,3800,45850,40.749,-70.036,s349,2,1,911718.606964912,394.55237628447816,0
2026,3501,43940,41.04600000000001,-69.632,s349,2,1,937771.5793130221,345.6682666306112,0
2026,3643,44886,41.114,-70.999,s349,2,1,948895.1539839455,361.66825818009727,0
2026,3572,44412,41.105,-70.445,s349,2,1,975465.6818337678,269.8608200378584,0
2026,3577,44419,40.935,-69.54,s349,2,1,1011348.6171363948,397.1192198485669,1
2026,3435,43462,41.133,-69.595,s349,2,1,1030450.9047633486,216.67011729313145,1
