p_name,year,latitude,longitude,built_capacity
Sunray 3,1985,34.86285,-116.83118,13.8
Sunray 3,2002,34.86285,-116.83118,13.8
Prescott Airport,2002,34.67779,-112.40593,3.0
Sunray 3,2006,34.86285,-116.83118,13.8
Prescott Airport,2006,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2006,33.56527,-114.90385,0.9
Sunray 3,2007,34.86285,-116.83118,13.8
Prescott Airport,2007,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2007,33.56527,-114.90385,0.9
SunE Alamosa,2007,37.68908,-105.87625,6.9
Carson Solar I,2007,38.72326,-104.78253,1.5
Western 102 Power Plant,2007,39.56039,-119.50909,1.0
Nellis Air Force Base Solar Array,2007,36.25649,-115.05441,12.0
Vacaville,2007,38.40003,-121.96291,1.0
Sunray 3,2008,34.86285,-116.83118,13.8
Prescott Airport,2008,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2008,33.56527,-114.90385,0.9
SunE Alamosa,2008,37.68908,-105.87625,6.9
Carson Solar I,2008,38.72326,-104.78253,1.5
Western 102 Power Plant,2008,39.56039,-119.50909,1.0
Nellis Air Force Base Solar Array,2008,36.25649,-115.05441,12.0
Vacaville,2008,38.40003,-121.96291,1.0
"MF Mesa Lane, LLC",2008,40.14871,-74.77716,3.0
Bolthouse S&P and Rowen Farms Solar,2008,34.56443,-117.69447,1.2
"Sacramento Soleil, LLC",2008,38.45012,-121.16426,1.0
Mariani Packing Vacaville Solar,2008,38.40002,-121.96436,0.9
CSU Pueblo,2008,38.31489,-104.57297,1.0
CM10,2008,35.78647,-114.99798,10.0
Lanai Solar-Electric Plant,2008,20.7658,-156.92278,1.2
Denver Int Airport,2008,39.83819,-104.67282,1.9
SunEdison Anheuser Busch Fairfield,2008,38.23194,-122.0927,0.9
Gap Pacific Distribution Center,2008,36.78374,-119.71401,1.2
SunEdison Ironwood State Prison,2008,33.56691,-114.91805,0.9
SunEdison LV Sutton Plant Site,2008,34.2871,-77.98056,1.2
Sunray 3,2009,34.86285,-116.83118,13.8
Prescott Airport,2009,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2009,33.56527,-114.90385,0.9
SunE Alamosa,2009,37.68908,-105.87625,6.9
Carson Solar I,2009,38.72326,-104.78253,1.5
Western 102 Power Plant,2009,39.56039,-119.50909,1.0
Nellis Air Force Base Solar Array,2009,36.25649,-115.05441,12.0
Vacaville,2009,38.40003,-121.96291,1.0
"MF Mesa Lane, LLC",2009,40.14871,-74.77716,3.0
Bolthouse S&P and Rowen Farms Solar,2009,34.56443,-117.69447,1.2
"Sacramento Soleil, LLC",2009,38.45012,-121.16426,1.0
Mariani Packing Vacaville Solar,2009,38.40002,-121.96436,0.9
CSU Pueblo,2009,38.31489,-104.57297,1.0
CM10,2009,35.78647,-114.99798,10.0
Lanai Solar-Electric Plant,2009,20.7658,-156.92278,1.2
