p_name,year,latitude,longitude,built_capacity
Denver Int Airport,2009,39.83819,-104.67282,1.9
SunEdison Anheuser Busch Fairfield,2009,38.23194,-122.0927,0.9
Gap Pacific Distribution Center,2009,36.78374,-119.71401,1.2
SunEdison Ironwood State Prison,2009,33.56691,-114.91805,0.9
SunEdison LV Sutton Plant Site,2009,34.2871,-77.98056,1.2
SunEdison Walmart Apple Valley DC,2009,34.5943,-117.19488,0.9
Livingston Solar Farm,2009,40.52319,-74.42979,1.2
Carrier Clinic,2009,40.47046,-74.68531,1.5
Aqua Ingrams Mill,2009,39.96481,-75.6577,0.9
Robert O Schulz Solar Farm,2009,37.85842,-120.89542,1.3
PSEG Hackettstown,2009,40.86116,-74.82189,2.2
"RE-VFO, LLC",2009,36.35362,-119.40073,1.0
City of Madera WWTP,2009,36.94274,-120.15889,1.0
WWRF Solar Plant,2009,39.52289,-107.81338,1.3
"RV CSU Power, LLC",2009,40.5912,-105.14634,1.9
Aerojet I,2009,38.61369,-121.16228,3.0
Exelon Solar Chicago,2009,41.67504,-87.64863,8.25
DeSoto Next Generation Solar Energy,2009,27.32313,-81.80221,25.0
Airport 1 Solar (DIA),2009,39.90209,-104.67342,1.5
"Calpine Vineland Solar, LLC",2009,39.46485,-75.06755,4.1
Improvement Dst No. 4,2009,35.40276,-119.03805,1.1
Vaca Dixon Solar Station,2009,38.41086,-121.92643,2.0
"Solar Blythe, LLC",2009,33.59197,-114.74225,21.0
Palo Verde College,2009,33.66608,-114.65691,1.2
Sunray 3,2010,34.86285,-116.83118,13.8
Prescott Airport,2010,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2010,33.56527,-114.90385,0.9
SunE Alamosa,2010,37.68908,-105.87625,6.9
Carson Solar I,2010,38.72326,-104.78253,1.5
Western 102 Power Plant,2010,39.56039,-119.50909,1.0
Nellis Air Force Base Solar Array,2010,36.25649,-115.05441,12.0
Vacaville,2010,38.40003,-121.96291,1.0
"MF Mesa Lane, LLC",2010,40.14871,-74.77716,3.0
Bolthouse S&P and Rowen Farms Solar,2010,34.56443,-117.69447,1.2
"Sacramento Soleil, LLC",2010,38.45012,-121.16426,1.0
Mariani Packing Vacaville Solar,2010,38.40002,-121.96436,0.9
CSU Pueblo,2010,38.31489,-104.57297,1.0
CM10,2010,35.78647,-114.99798,10.0
Lanai Solar-Electric Plant,2010,20.7658,-156.92278,1.2
Denver Int Airport,2010,39.83819,-104.67282,1.9
SunEdison Anheuser Busch Fairfield,2010,38.23194,-122.0927,0.9
Gap Pacific Distribution Center,2010,36.78374,-119.71401,1.2
SunEdison Ironwood State Prison,2010,33.56691,-114.91805,0.9
SunEdison LV Sutton Plant Site,2010,34.2871,-77.98056,1.2
SunEdison Walmart Apple Valley DC,2010,34.5943,-117.19488,0.9
Livingston Solar Farm,2010,40.52319,-74.42979,1.2
Carrier Clinic,2010,40.47046,-74.68531,1.5
Aqua Ingrams Mill,2010,39.96481,-75.6577,0.9
Robert O Schulz Solar Farm,2010,37.85842,-120.89542,1.3
PSEG Hackettstown,2010,40.86116,-74.82189,2.2
"RE-VFO, LLC",2010,36.35362,-119.40073,1.0
City of Madera WWTP,2010,36.94274,-120.15889,1.0
WWRF Solar Plant,2010,39.52289,-107.81338,1.3
"RV CSU Power, LLC",2010,40.5912,-105.14634,1.9
Aerojet I,2010,38.61369,-121.16228,3.0
Exelon Solar Chicago,2010,41.67504,-87.64863,8.25
DeSoto Next Generation Solar Energy,2010,27.32313,-81.80221,25.0
Airport 1 Solar (DIA),2010,39.90209,-104.67342,1.5
"Calpine Vineland Solar, LLC",2010,39.46485,-75.06755,4.1
Improvement Dst No. 4,2010,35.40276,-119.03805,1.1
Vaca Dixon Solar Station,2010,38.41086,-121.92643,2.0
"Solar Blythe, LLC",2010,33.59197,-114.74225,21.0
Palo Verde College,2010,33.66608,-114.65691,1.2
Wyandot Solar Farm,2010,40.88008,-83.31753,10.08
CASD Solar,2010,40.21509,-77.20538,1.3
Titusville Solar,2010,40.29246,-74.85575,4.1
Shelby Solar Energy Generation Facility,2010,35.25425,-81.59608,1.0
Jacksonville Solar,2010,30.32132,-81.95572,12.6
Sunset Reservoir North Basin,2010,37.75083,-122.48352,4.5
Castle Rock Vineyards,2010,35.80118,-119.11089,1.0
CalRenew-1,2010,36.75963,-120.36593,5.0
Aerojet II,2010,38.61122,-121.16824,2.7
Victor Valley CC CPV Solar,2010,34.48011,-117.25782,1.0
Monterey Regional Water Pollution Control Agency,2010,36.70822,-121.76899,1.0
SAS Solar Farm,2010,35.81367,-78.74991,2.0
CM48,2010,35.78102,-114.99262,48.0
Intel Folsom,2010,38.64409,-121.17245,1.0
Greater Sandhill I,2010,37.68796,-105.88481,19.0
Silver Lake Solar Farm,2010,40.49505,-74.39689,1.7
Silver Lake Solar Photovoltaic Facility,2010,42.45257,-73.24101,1.8
UASTP I,2010,32.09952,-110.81128,1.2
Trenton Solar Farm,2010,40.23152,-74.75351,1.0
"Taylorsville Solar, LLC",2010,35.90901,-81.15245,1.0
Roger Road WWTP,2010,32.28989,-111.03298,0.9
Yardville Solar Farm,2010,40.1688,-74.65784,3.6
Yankee Street,2010,39.60104,-84.20575,1.1
City of Boulder WWTP,2010,40.04804,-105.1808,0.9
Blue Wing Solar Energy Generation,2010,29.30707,-98.40534,13.9
Yolo County Solar Project,2010,38.65747,-121.7337,1.0
City of Hayward WWTP,2010,37.63349,-122.13985,1.6
Pocono Solar Project,2010,41.06092,-75.51544,3.0
Space Coast Next Gen Solar Energy,2010,28.48494,-80.68064,10.0
Benjamin Moore & Co. Solar,2010,40.82672,-74.71589,1.4
Depot Park Solar System,2010,38.51535,-121.40101,3.0
"RV CSU Power II, LLC",2010,40.59279,-105.14751,3.0
Haverhill Solar Power Project,2010,42.78092,-71.09272,0.8
Knouse Solar Project 1,2010,40.02629,-77.23536,2.8
Cimarron Solar Facility,2010,36.46845,-104.63507,30.64
Linden Solar Farm,2010,40.61927,-74.21596,2.7
Kapaa Photovoltaic Project,2010,22.08025,-159.33243,1.0
Longwood Gardens,2010,39.86645,-75.66843,1.3
Sunray 3,2011,34.86285,-116.83118,13.8
Prescott Airport,2011,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2011,33.56527,-114.90385,0.9
SunE Alamosa,2011,37.68908,-105.87625,6.9
Carson Solar I,2011,38.72326,-104.78253,1.5
Western 102 Power Plant,2011,39.56039,-119.50909,1.0
Nellis Air Force Base Solar Array,2011,36.25649,-115.05441,12.0
Vacaville,2011,38.40003,-121.96291,1.0
"MF Mesa Lane, LLC",2011,40.14871,-74.77716,3.0
Bolthouse S&P and Rowen Farms Solar,2011,34.56443,-117.69447,1.2
"Sacramento Soleil, LLC",2011,38.45012,-121.16426,1.0
Mariani Packing Vacaville Solar,2011,38.40002,-121.96436,0.9
CSU Pueblo,2011,38.31489,-104.57297,1.0
CM10,2011,35.78647,-114.99798,10.0
Lanai Solar-Electric Plant,2011,20.7658,-156.92278,1.2
Denver Int Airport,2011,39.83819,-104.67282,1.9
SunEdison Anheuser Busch Fairfield,2011,38.23194,-122.0927,0.9
Gap Pacific Distribution Center,2011,36.78374,-119.71401,1.2
SunEdison Ironwood State Prison,2011,33.56691,-114.91805,0.9
SunEdison LV Sutton Plant Site,2011,34.2871,-77.98056,1.2
SunEdison Walmart Apple Valley DC,2011,34.5943,-117.19488,0.9
Livingston Solar Farm,2011,40.52319,-74.42979,1.2
Carrier Clinic,2011,40.47046,-74.68531,1.5
Aqua Ingrams Mill,2011,39.96481,-75.6577,0.9
Robert O Schulz Solar Farm,2011,37.85842,-120.89542,1.3
PSEG Hackettstown,2011,40.86116,-74.82189,2.2
"RE-VFO, LLC",2011,36.35362,-119.40073,1.0
City of Madera WWTP,2011,36.94274,-120.15889,1.0
WWRF Solar Plant,2011,39.52289,-107.81338,1.3
"RV CSU Power, LLC",2011,40.5912,-105.14634,1.9
Aerojet I,2011,38.61369,-121.16228,3.0
Exelon Solar Chicago,2011,41.67504,-87.64863,8.25
DeSoto Next Generation Solar Energy,2011,27.32313,-81.80221,25.0
Airport 1 Solar (DIA),2011,39.90209,-104.67342,1.5
"Calpine Vineland Solar, LLC",2011,39.46485,-75.06755,4.1
Improvement Dst No. 4,2011,35.40276,-119.03805,1.1
Vaca Dixon Solar Station,2011,38.41086,-121.92643,2.0
"Solar Blythe, LLC",2011,33.59197,-114.74225,21.0
Palo Verde College,2011,33.66608,-114.65691,1.2
Wyandot Solar Farm,2011,40.88008,-83.31753,10.08
CASD Solar,2011,40.21509,-77.20538,1.3
Titusville Solar,2011,40.29246,-74.85575,4.1
Shelby Solar Energy Generation Facility,2011,35.25425,-81.59608,1.0
Jacksonville Solar,2011,30.32132,-81.95572,12.6
Sunset Reservoir North Basin,2011,37.75083,-122.48352,4.5
Castle Rock Vineyards,2011,35.80118,-119.11089,1.0
CalRenew-1,2011,36.75963,-120.36593,5.0
Aerojet II,2011,38.61122,-121.16824,2.7
Victor Valley CC CPV Solar,2011,34.48011,-117.25782,1.0
Monterey Regional Water Pollution Control Agency,2011,36.70822,-121.76899,1.0
SAS Solar Farm,2011,35.81367,-78.74991,2.0
CM48,2011,35.78102,-114.99262,48.0
Intel Folsom,2011,38.64409,-121.17245,1.0
Greater Sandhill I,2011,37.68796,-105.88481,19.0
Silver Lake Solar Farm,2011,40.49505,-74.39689,1.7
Silver Lake Solar Photovoltaic Facility,2011,42.45257,-73.24101,1.8
UASTP I,2011,32.09952,-110.81128,1.2
Trenton Solar Farm,2011,40.23152,-74.75351,1.0
"Taylorsville Solar, LLC",2011,35.90901,-81.15245,1.0
Roger Road WWTP,2011,32.28989,-111.03298,0.9
Yardville Solar Farm,2011,40.1688,-74.65784,3.6
Yankee Street,2011,39.60104,-84.20575,1.1
City of Boulder WWTP,2011,40.04804,-105.1808,0.9
Blue Wing Solar Energy Generation,2011,29.30707,-98.40534,13.9
Yolo County Solar Project,2011,38.65747,-121.7337,1.0
City of Hayward WWTP,2011,37.63349,-122.13985,1.6
Pocono Solar Project,2011,41.06092,-75.51544,3.0
Space Coast Next Gen Solar Energy,2011,28.48494,-80.68064,10.0
Benjamin Moore & Co. Solar,2011,40.82672,-74.71589,1.4
Depot Park Solar System,2011,38.51535,-121.40101,3.0
"RV CSU Power II, LLC",2011,40.59279,-105.14751,3.0
Haverhill Solar Power Project,2011,42.78092,-71.09272,0.8
Knouse Solar Project 1,2011,40.02629,-77.23536,2.8
Cimarron Solar Facility,2011,36.46845,-104.63507,30.64
Linden Solar Farm,2011,40.61927,-74.21596,2.7
Kapaa Photovoltaic Project,2011,22.08025,-159.33243,1.0
Longwood Gardens,2011,39.86645,-75.66843,1.3
SPS2 Jal,2011,32.1866,-103.18417,9.9
SPS1 Dollarhide,2011,32.12987,-103.13837,9.9
Paloma Solar Hybrid,2011,33.02096,-112.6618,17.6
Mill Creek Solar,2011,40.03054,-74.82634,3.5
Lancaster Baptist Church,2011,34.69633,-118.06252,1.0
SMUD at Van Conett,2011,38.25309,-121.27902,2.9
Frenchtown II Solar,2011,40.51465,-74.97679,3.0
UMES (MD)-Princess Anne,2011,38.20585,-75.67645,2.1
SMUD at Lawrence,2011,38.33875,-121.43126,1.0
Temple Solar Arrays,2011,40.42511,-75.92405,2.2
SDCWA-Twin Oaks,2011,33.21065,-117.17826,1.1
"Poseidon Solar, LLC",2011,33.15899,-111.48162,20.0
"Sand Drag, LLC",2011,35.98069,-120.10235,19.0
Morgantown Solar Park,2011,40.15194,-75.86601,1.6
SMUD at Fleshman,2011,38.23791,-121.33806,2.9
Butte College Main Campus Solar,2011,39.65156,-121.65001,3.6
Lakeland Electric Co. (FL)-Airport 1,2011,27.98668,-82.04517,2.7
GSE NM1,2011,33.16271,-104.38536,1.7
The City of Vineland at West Vineland,2011,39.46237,-75.07011,3.7
Kent County Wastewater Treatment Solar,2011,38.99188,-75.4399,1.2
Epic Verona,2011,43.00356,-89.57642,1.8
The City of Vineland at North Vineland,2011,39.50486,-74.9976,2.3
La Senita,2011,35.24159,-114.00459,1.0
PCSP3 Airport,2011,36.28819,-78.98902,2.5
Roadrunner Solar,2011,31.80311,-106.67038,20.16
Walmart Casa Grande,2011,32.86885,-111.77185,2.0
PCIP Solar,2011,36.31402,-78.9704,1.0
Crown Cooling Facility,2011,32.96711,-115.5327,1.0
SMUD at Grundman,2011,38.36581,-121.41435,18.0
"RE Bagdad Solar I, LLC",2011,34.58784,-113.17572,15.0
"Gilbert Solar Facility I, LLC",2011,33.35634,-111.80366,2.5
Avenal Park,2011,35.99085,-120.10666,6.0
Bellevue Solar Project,2011,45.1123,-123.23429,1.6
Manalapan Village Solar,2011,40.25664,-74.34966,3.5
"RC Energy AA, LLC Solar Facility",2011,35.15262,-106.54712,1.0
SPS3 Lea,2011,32.68166,-103.30141,10.08
Madera Community Hospital,2011,36.94105,-120.04644,1.0
South Campus Solar,2011,39.7809,-75.54748,1.3
Perdue Bridgeville Photovoltaic,2011,38.75744,-75.60207,1.3
Maple Solar,2011,39.48927,-74.98023,2.4
Perdue Salisbury Photovoltaic,2011,38.37216,-75.5324,1.0
"Long Island Solar Farm, LLC",2011,40.86606,-72.85061,31.5
Flemington Solar,2011,40.48657,-74.8524,8.0
Questa Solar Facility,2011,36.71671,-105.6069,1.0
Constellation New Energy Inc,2011,39.92853,-74.81852,3.9
Pilesgrove,2011,39.6136,-75.30914,18.0
Chittenden County Solar Partners,2011,44.43596,-73.14544,2.2
"Johnson Matthey, Inc. Solar",2011,39.82516,-75.21995,4.0
Five Points Solar Station,2011,36.39542,-120.10778,15.0
Buckeye Union HS District 201,2011,33.41786,-112.57454,3.3
City & County of Denver at Denver Int'l,2011,39.90294,-104.65938,3.4
Marlboro Mushrooms Solar Field,2011,39.88284,-75.83037,1.0
Berkshire 1,2011,42.11465,-73.40509,1.8
Indian Orchard PV Facility,2011,42.15188,-72.49904,2.3
Las Vegas Solar Energy Center,2011,35.64472,-105.20729,5.0
FRB Solar Farm,2011,32.10706,-110.82423,1.9
Cotton Center Solar Hybrid,2011,33.03461,-112.66163,17.0
McKee City Solar Phase 2,2011,39.42112,-74.64011,2.4
McGraw Hill Solar,2011,40.27736,-74.55668,12.0
Lebanon Solar,2011,40.67603,-74.91223,2.0
"Solar Park Gainesville, LLC",2011,29.70153,-82.3366,1.6
Masser Farms Realty Solar,2011,40.64055,-76.60522,1.0
Vineland Mays Landing Solar,2011,39.42088,-74.97356,3.7
"Martins Creek Solar NC, LLC",2011,35.02038,-84.01572,0.9
"Solar Star North Carolina II, LLC",2011,36.42453,-77.06259,5.0
Prescott Solar Plant,2011,34.68932,-112.40261,10.4
"RE Ajo 1, LLC",2011,32.36502,-112.8313,4.5
Bridgeport Disposal Solar Farm,2011,39.78745,-75.34888,1.2
"Mayberry Solar, LLC",2011,36.47525,-80.60186,1.2
Paradise Solar Energy Center,2011,39.83616,-75.22221,5.1
City of Tulare Water Facility,2011,36.18638,-119.37777,1.1
Neuse River Solar Farm,2011,35.71427,-78.4998,1.1
Trexlertown Solar Array North and South,2011,40.55638,-75.59308,1.9
Dover Sun Park,2011,39.18598,-75.50751,10.0
Skipjack Solar Center,2011,37.38061,-77.18757,175.0
Dixon Dairy Road Solar,2011,35.19987,-81.41105,4.0
AFA Solar Farm,2011,38.95697,-104.80653,5.2
158th Fighter Wing Solar Farm,2011,44.4803,-73.17256,1.3
Alamogordo Solar Energy Center,2011,32.86611,-106.00016,4.9
"RP-Orlando, LLC",2011,28.48897,-81.18225,5.5
Edwards Air Force Base,2011,34.90764,-117.92059,3.0
Holyoke Solar Cooperative at Mueller,2011,42.18985,-72.68428,2.7
Stroud Solar Station,2011,36.52382,-120.12331,20.0
Albuquerque Solar Energy Center,2011,35.16893,-106.60007,2.0
Napoleon Solar I,2011,41.38743,-84.09289,8.08
San Luis Valley Solar Ranch,2011,37.69418,-105.91981,30.4
Dartmouth Solar,2011,41.71597,-70.97449,1.6
Alethea I,2011,40.00043,-74.735,2.8
"Hatch Solar Energy Center I, LLC",2011,32.62862,-107.25986,5.04
"Yamhill Solar, LLC",2011,45.10838,-123.27818,1.0
"Sun City Project, LLC",2011,35.98518,-120.10141,20.0
Westside Solar Station,2011,36.37817,-120.12396,15.0
"CS Murphy Point, LLC",2011,34.98951,-84.16625,0.9
Hamilton Solar-Crosswicks,2011,40.1689,-74.63113,7.5
SPS5 Hopi,2011,32.34404,-104.23537,9.9
Hickory Ridge Landfill Solar Project,2011,33.66345,-84.33559,1.0
NJMC Landfill,2011,40.75077,-74.1099,2.5
NJ Oak Solar Plant,2011,39.38052,-75.18946,10.0
Webberville Solar Project,2011,30.2385,-97.50856,30.0
Murray Hill Solar,2011,40.68414,-74.4044,1.0
"Murphy Farm Power, LLC",2011,34.99901,-84.15742,0.9
Dinuba Wastewater Treatment Plant,2011,36.53818,-119.42616,1.0
Sunray 3,2012,34.86285,-116.83118,13.8
Prescott Airport,2012,34.67779,-112.40593,3.0
Chuckawalla Valley State Prison,2012,33.56527,-114.90385,0.9
SunE Alamosa,2012,37.68908,-105.87625,6.9
Carson Solar I,2012,38.72326,-104.78253,1.5
Western 102 Power Plant,2012,39.56039,-119.50909,1.0
Nellis Air Force Base Solar Array,2012,36.25649,-115.05441,12.0
Vacaville,2012,38.40003,-121.96291,1.0
"MF Mesa Lane, LLC",2012,40.14871,-74.77716,3.0
Bolthouse S&P and Rowen Farms Solar,2012,34.56443,-117.69447,1.2
"Sacramento Soleil, LLC",2012,38.45012,-121.16426,1.0
Mariani Packing Vacaville Solar,2012,38.40002,-121.96436,0.9
CSU Pueblo,2012,38.31489,-104.57297,1.0
CM10,2012,35.78647,-114.99798,10.0
Lanai Solar-Electric Plant,2012,20.7658,-156.92278,1.2
Denver Int Airport,2012,39.83819,-104.67282,1.9
SunEdison Anheuser Busch Fairfield,2012,38.23194,-122.0927,0.9
Gap Pacific Distribution Center,2012,36.78374,-119.71401,1.2
SunEdison Ironwood State Prison,2012,33.56691,-114.91805,0.9
SunEdison LV Sutton Plant Site,2012,34.2871,-77.98056,1.2
SunEdison Walmart Apple Valley DC,2012,34.5943,-117.19488,0.9
Livingston Solar Farm,2012,40.52319,-74.42979,1.2
Carrier Clinic,2012,40.47046,-74.68531,1.5
Aqua Ingrams Mill,2012,39.96481,-75.6577,0.9
Robert O Schulz Solar Farm,2012,37.85842,-120.89542,1.3
PSEG Hackettstown,2012,40.86116,-74.82189,2.2
"RE-VFO, LLC",2012,36.35362,-119.40073,1.0
City of Madera WWTP,2012,36.94274,-120.15889,1.0
WWRF Solar Plant,2012,39.52289,-107.81338,1.3
"RV CSU Power, LLC",2012,40.5912,-105.14634,1.9
Aerojet I,2012,38.61369,-121.16228,3.0
Exelon Solar Chicago,2012,41.67504,-87.64863,8.25
DeSoto Next Generation Solar Energy,2012,27.32313,-81.80221,25.0
Airport 1 Solar (DIA),2012,39.90209,-104.67342,1.5
"Calpine Vineland Solar, LLC",2012,39.46485,-75.06755,4.1
Improvement Dst No. 4,2012,35.40276,-119.03805,1.1
Vaca Dixon Solar Station,2012,38.41086,-121.92643,2.0
"Solar Blythe, LLC",2012,33.59197,-114.74225,21.0
Palo Verde College,2012,33.66608,-114.65691,1.2
Wyandot Solar Farm,2012,40.88008,-83.31753,10.08
CASD Solar,2012,40.21509,-77.20538,1.3
Titusville Solar,2012,40.29246,-74.85575,4.1
Shelby Solar Energy Generation Facility,2012,35.25425,-81.59608,1.0
Jacksonville Solar,2012,30.32132,-81.95572,12.6
Sunset Reservoir North Basin,2012,37.75083,-122.48352,4.5
Castle Rock Vineyards,2012,35.80118,-119.11089,1.0
CalRenew-1,2012,36.75963,-120.36593,5.0
Aerojet II,2012,38.61122,-121.16824,2.7
Victor Valley CC CPV Solar,2012,34.48011,-117.25782,1.0
Monterey Regional Water Pollution Control Agency,2012,36.70822,-121.76899,1.0
SAS Solar Farm,2012,35.81367,-78.74991,2.0
CM48,2012,35.78102,-114.99262,48.0
Intel Folsom,2012,38.64409,-121.17245,1.0
Greater Sandhill I,2012,37.68796,-105.88481,19.0
Silver Lake Solar Farm,2012,40.49505,-74.39689,1.7
Silver Lake Solar Photovoltaic Facility,2012,42.45257,-73.24101,1.8
UASTP I,2012,32.09952,-110.81128,1.2
Trenton Solar Farm,2012,40.23152,-74.75351,1.0
"Taylorsville Solar, LLC",2012,35.90901,-81.15245,1.0
Roger Road WWTP,2012,32.28989,-111.03298,0.9
Yardville Solar Farm,2012,40.1688,-74.65784,3.6
Yankee Street,2012,39.60104,-84.20575,1.1
City of Boulder WWTP,2012,40.04804,-105.1808,0.9
Blue Wing Solar Energy Generation,2012,29.30707,-98.40534,13.9
Yolo County Solar Project,2012,38.65747,-121.7337,1.0
City of Hayward WWTP,2012,37.63349,-122.13985,1.6
Pocono Solar Project,2012,41.06092,-75.51544,3.0
Space Coast Next Gen Solar Energy,2012,28.48494,-80.68064,10.0
Benjamin Moore & Co. Solar,2012,40.82672,-74.71589,1.4
Depot Park Solar System,2012,38.51535,-121.40101,3.0
"RV CSU Power II, LLC",2012,40.59279,-105.14751,3.0
Haverhill Solar Power Project,2012,42.78092,-71.09272,0.8
Knouse Solar Project 1,2012,40.02629,-77.23536,2.8
Cimarron Solar Facility,2012,36.46845,-104.63507,30.64
Linden Solar Farm,2012,40.61927,-74.21596,2.7
Kapaa Photovoltaic Project,2012,22.08025,-159.33243,1.0
Longwood Gardens,2012,39.86645,-75.66843,1.3
SPS2 Jal,2012,32.1866,-103.18417,9.9
SPS1 Dollarhide,2012,32.12987,-103.13837,9.9
Paloma Solar Hybrid,2012,33.02096,-112.6618,17.6
Mill Creek Solar,2012,40.03054,-74.82634,3.5
Lancaster Baptist Church,2012,34.69633,-118.06252,1.0
SMUD at Van Conett,2012,38.25309,-121.27902,2.9
Frenchtown II Solar,2012,40.51465,-74.97679,3.0
UMES (MD)-Princess Anne,2012,38.20585,-75.67645,2.1
SMUD at Lawrence,2012,38.33875,-121.43126,1.0
Temple Solar Arrays,2012,40.42511,-75.92405,2.2
SDCWA-Twin Oaks,2012,33.21065,-117.17826,1.1
"Poseidon Solar, LLC",2012,33.15899,-111.48162,20.0
"Sand Drag, LLC",2012,35.98069,-120.10235,19.0
Morgantown Solar Park,2012,40.15194,-75.86601,1.6
SMUD at Fleshman,2012,38.23791,-121.33806,2.9
Butte College Main Campus Solar,2012,39.65156,-121.65001,3.6
Lakeland Electric Co. (FL)-Airport 1,2012,27.98668,-82.04517,2.7
GSE NM1,2012,33.16271,-104.38536,1.7
The City of Vineland at West Vineland,2012,39.46237,-75.07011,3.7
Kent County Wastewater Treatment Solar,2012,38.99188,-75.4399,1.2
Epic Verona,2012,43.00356,-89.57642,1.8
The City of Vineland at North Vineland,2012,39.50486,-74.9976,2.3
La Senita,2012,35.24159,-114.00459,1.0
PCSP3 Airport,2012,36.28819,-78.98902,2.5
Roadrunner Solar,2012,31.80311,-106.67038,20.16
Walmart Casa Grande,2012,32.86885,-111.77185,2.0
PCIP Solar,2012,36.31402,-78.9704,1.0
Crown Cooling Facility,2012,32.96711,-115.5327,1.0
SMUD at Grundman,2012,38.36581,-121.41435,18.0
"RE Bagdad Solar I, LLC",2012,34.58784,-113.17572,15.0
"Gilbert Solar Facility I, LLC",2012,33.35634,-111.80366,2.5
Avenal Park,2012,35.99085,-120.10666,6.0
Bellevue Solar Project,2012,45.1123,-123.23429,1.6
Manalapan Village Solar,2012,40.25664,-74.34966,3.5
"RC Energy AA, LLC Solar Facility",2012,35.15262,-106.54712,1.0
SPS3 Lea,2012,32.68166,-103.30141,10.08
Madera Community Hospital,2012,36.94105,-120.04644,1.0
South Campus Solar,2012,39.7809,-75.54748,1.3
Perdue Bridgeville Photovoltaic,2012,38.75744,-75.60207,1.3
Maple Solar,2012,39.48927,-74.98023,2.4
Perdue Salisbury Photovoltaic,2012,38.37216,-75.5324,1.0
"Long Island Solar Farm, LLC",2012,40.86606,-72.85061,31.5
Flemington Solar,2012,40.48657,-74.8524,8.0
Questa Solar Facility,2012,36.71671,-105.6069,1.0
Constellation New Energy Inc,2012,39.92853,-74.81852,3.9
Pilesgrove,2012,39.6136,-75.30914,18.0
Chittenden County Solar Partners,2012,44.43596,-73.14544,2.2
"Johnson Matthey, Inc. Solar",2012,39.82516,-75.21995,4.0
Five Points Solar Station,2012,36.39542,-120.10778,15.0
Buckeye Union HS District 201,2012,33.41786,-112.57454,3.3
City & County of Denver at Denver Int'l,2012,39.90294,-104.65938,3.4
Marlboro Mushrooms Solar Field,2012,39.88284,-75.83037,1.0
Berkshire 1,2012,42.11465,-73.40509,1.8
Indian Orchard PV Facility,2012,42.15188,-72.49904,2.3
Las Vegas Solar Energy Center,2012,35.64472,-105.20729,5.0
FRB Solar Farm,2012,32.10706,-110.82423,1.9
Cotton Center Solar Hybrid,2012,33.03461,-112.66163,17.0
