year,sc_gid,sc_point_gid,latitude,longitude,cnty_fips,region,class,bin,trans_cap_cost,capacity_MW,investment_bool
2010,19,1543,48.34700012,-124.6529999,53009,s1,6,1,95898.02344,6.0,1
2010,5553,16125,47.11299896,-100.7409973,38015,s100,4,1,5665.225098,105.6564,0
2010,5786,16502,47.0,-101.2149963,38065,s100,4,1,12570.71875,91.94360000000002,0
2010,5551,16123,47.10200119,-101.0630035,38065,s100,6,1,14492.482419999998,84.9528,1
2010,5787,16503,47.00500107,-101.0540009,38065,s100,6,1,16675.17188,54.24719999999999,1
2010,7985,19556,46.27799988,-98.92500305,38021,s101,3,1,6513.390136999999,52.8768,0
2010,8556,20316,46.08300018,-98.91600037,38021,s101,3,2,14100.4082,127.1232,0
2010,6833,18034,46.66199875,-99.26499939,38093,s102,4,1,9189.790039,41.2128,0
2010,6834,18035,46.66500092,-99.10500336,38093,s102,4,1,12421.41309,65.7072,0
2010,6042,16895,46.95800018,-99.1210022,38093,s102,4,1,14099.06836,41.06699999999999,0
2010,5562,16134,47.15000153,-99.29199982,38093,s102,4,2,16492.22852,37.2519,0
2010,5563,16135,47.15299988,-99.1309967,38093,s102,4,2,16816.72461,48.9888,0
2010,7113,18416,46.57099915,-98.94000244,38045,s102,4,2,18014.53906,23.772299999999973,0
2010,5329,15758,47.25999832,-98.65200043,38093,s102,6,1,5172.940918,37.8837,1
2010,5559,16131,47.13899994,-99.77600098,38043,s102,6,1,829.0194092,24.5163,1
2010,13460,26772,44.41400146,-99.44999695,46069,s110,3,1,24889.47656,119.1,0
2010,13181,26411,44.54999924,-96.52799988,46039,s112,2,1,12813.46094,50.39999999999998,0
2010,14117,27549,44.25600052,-96.83200073,46011,s112,6,1,2796.540527,46.7046,1
2010,13794,27169,44.35400009,-96.83300018,46011,s112,6,1,3381.122803,67.3596,1
2010,13795,27170,44.35400009,-96.68000031,46011,s112,6,1,5400.01123,120.042,1
2010,9143,21090,45.91400146,-96.69799805,46109,s112,6,1,6205.098633,74.89379999999997,1
2010,22542,37380,41.5,-103.9950027,31007,s114,1,1,14317.46289,10.5,0
2010,23246,38167,41.47200012,-100.0230026,31041,s116,2,1,27221.02148,59.400000000000006,0
2010,19627,34004,42.5929985,-97.55599976,31107,s118,2,1,3566.809082,81.0,0
2010,27604,43132,40.25999832,-96.34799957,31133,s119,3,1,31368.503910000003,1.4000000000000057,0
2010,25300,40470,40.94200134,-96.64299774,31109,s119,6,1,7676.47998,60.0,1
2010,4405,14258,47.67200089,-95.41799927,27029,s120,5,1,4716.842285,3.299999999999997,0
2010,5819,16535,47.0870018,-95.90699768,27005,s120,6,1,2950.75708,0.7999999999999972,1
2010,10289,22613,45.52500153,-96.22299957,27149,s121,4,1,13723.82324,4.400000000000006,0
2010,9433,21475,45.81800079,-95.90899658,27051,s121,6,1,4369.804199,20.0,1
2010,12890,26032,44.64799881,-96.37400055,27173,s122,4,1,7113.579102,3.4000000000000057,0
2010,14120,27552,44.25799942,-96.37200165,27081,s123,3,1,5730.00293,118.1952,0
2010,14448,27937,44.15999985,-95.60500336,27101,s123,3,1,8758.095703,149.3964,0
2010,14121,27553,44.25799942,-96.21800232,27081,s123,3,2,8969.875977,102.06,0
2010,13481,26793,44.45299911,-96.21900177,27081,s123,3,2,11302.94922,107.5032,0
2010,14775,28314,44.06299973,-96.06400299,27117,s123,3,3,11880.28711,160.1856,0
2010,15763,29456,43.77099991,-95.76000214,27105,s123,3,3,18168.10352,145.9944,0
2010,13797,27172,44.35499954,-96.37200165,27081,s123,3,4,19261.72656,106.3368,0
2010,13799,27174,44.35599899,-96.06500244,27083,s123,3,4,24508.14844,58.22839999999989,0
